tide_id,water_level_m,direction_from_deg,period_s,matrix_row,matrix_col,transfer_coefficient
tide_low,-1.5,15.0,24.0,0,0,0.9907819797532715
tide_low,-1.5,15.0,22.5,0,1,0.9953857768452812
tide_low,-1.5,15.0,20.5,0,2,0.995808706693861
tide_low,-1.5,15.0,18.5,0,3,0.9797933736328961
tide_low,-1.5,15.0,16.5,0,4,0.9550064961629685
tide_low,-1.5,15.0,15.0,0,5,0.933360635816614
tide_low,-1.5,15.0,14.0,0,6,0.9183228109050665
tide_low,-1.5,15.0,12.5,0,7,0.8962266394213252
tide_low,-1.5,15.0,11.0,0,8,0.8763938149369688
tide_low,-1.5,15.0,10.0,0,9,0.8652939169948528
tide_low,-1.5,15.0,9.0,0,10,0.8563711661675235
tide_low,-1.5,15.0,8.0,0,11,0.8498745039427318
tide_low,-1.5,15.0,7.5,0,12,0.8475411459480702
tide_low,-1.5,15.0,7.0,0,13,0.8457576747883078
tide_low,-1.5,15.0,6.5,0,14,0.8444079564888183
tide_low,-1.5,15.0,6.0,0,15,0.8432841904355852
tide_low,-1.5,15.0,5.0,0,16,0.8402708239916166
tide_low,-1.5,15.0,4.0,0,17,0.8336784942224229
tide_low,-1.5,30.0,24.0,1,0,0.7689590730739138
tide_low,-1.5,30.0,22.5,1,1,0.7664279472860329
tide_low,-1.5,30.0,20.5,1,2,0.7610590563208577
tide_low,-1.5,30.0,18.5,1,3,0.7549770998273377
tide_low,-1.5,30.0,16.5,1,4,0.7461687663952343
tide_low,-1.5,30.0,15.0,1,5,0.7366079325676331
tide_low,-1.5,30.0,14.0,1,6,0.7290763345475018
tide_low,-1.5,30.0,12.5,1,7,0.7170232557124354
tide_low,-1.5,30.0,11.0,1,8,0.705734691081199
tide_low,-1.5,30.0,10.0,1,9,0.6997747228130233
tide_low,-1.5,30.0,9.0,1,10,0.6960001792608352
tide_low,-1.5,30.0,8.0,1,11,0.6952739708214732
tide_low,-1.5,30.0,7.5,1,12,0.6963069065946463
tide_low,-1.5,30.0,7.0,1,13,0.6983631692997552
tide_low,-1.5,30.0,6.5,1,14,0.7014404015590587
tide_low,-1.5,30.0,6.0,1,15,0.7054085504506826
tide_low,-1.5,30.0,5.0,1,16,0.7139573917155912
tide_low,-1.5,30.0,4.0,1,17,0.716251593363002
tide_low,-1.5,45.0,24.0,2,0,0.5576261256504322
tide_low,-1.5,45.0,22.5,2,1,0.5553459823181868
tide_low,-1.5,45.0,20.5,2,2,0.5514163073156784
tide_low,-1.5,45.0,18.5,2,3,0.5467125635751842
tide_low,-1.5,45.0,16.5,2,4,0.541242693679262
tide_low,-1.5,45.0,15.0,2,5,0.536529052173262
tide_low,-1.5,45.0,14.0,2,6,0.5331367563774574
tide_low,-1.5,45.0,12.5,2,7,0.5280367909643537
tide_low,-1.5,45.0,11.0,2,8,0.5239069651312995
tide_low,-1.5,45.0,10.0,2,9,0.5226137268468234
tide_low,-1.5,45.0,9.0,2,10,0.5234691055215102
tide_low,-1.5,45.0,8.0,2,11,0.5276165285152441
tide_low,-1.5,45.0,7.5,2,12,0.5313427043068906
tide_low,-1.5,45.0,7.0,2,13,0.5363908249824885
tide_low,-1.5,45.0,6.5,2,14,0.5428761480954014
tide_low,-1.5,45.0,6.0,2,15,0.5507951994938143
tide_low,-1.5,45.0,5.0,2,16,0.5691923148669673
tide_low,-1.5,45.0,4.0,2,17,0.5818432938073634
tide_low,-1.5,60.0,24.0,3,0,0.376124529394529
tide_low,-1.5,60.0,22.5,3,1,0.374108212204983
tide_low,-1.5,60.0,20.5,3,2,0.37117524062988494
tide_low,-1.5,60.0,18.5,3,3,0.3681761141483797
tide_low,-1.5,60.0,16.5,3,4,0.3652515857647276
tide_low,-1.5,60.0,15.0,3,5,0.36311585892245457
